N,P,K,temperature,humidity,ph,rainfall,label,state,district,season,irrigation,water_availability,soil_type
110,62,51,20.88,99.97,5.25,280.12,wheat,Andhra Pradesh,Visakhapatnam,monsoon,rainfed,high,red
19,84,47,34.96,76.6,8.2,108.25,sunflower,West Bengal,Darjeeling,summer,well,medium,red
133,106,164,29.6,34.04,8.93,153.25,tomato,West Bengal,Howrah,summer,canal,high,alluvial
75,65,73,33.67,87.7,5.29,186.07,mustard,Andhra Pradesh,Visakhapatnam,summer,rainfed,medium,desert
42,52,121,28.83,30.71,6.4,197.91,potato,Andhra Pradesh,Guntur,monsoon,well,medium,peaty
83,40,11,31.64,45.67,5.12,279.12,millet,Tamil Nadu,Chennai,summer,rainfed,low,mountain
109,55,178,31.27,80.33,8.81,68.89,brinjal,Karnataka,Mysuru,summer,river,low,alluvial
139,102,178,28.95,72.83,6.16,96.32,potato,Rajasthan,Udaipur,summer,canal,medium,laterite
12,8,180,36.04,44.5,4.76,116.81,sugarcane,Maharashtra,Pune,winter,rainfed,low,alluvial
26,74,8,32.11,77.89,8.06,120.45,millet,West Bengal,Darjeeling,monsoon,river,high,red
58,118,185,25.91,69.99,9.46,71.18,sugarcane,Punjab,Jalandhar,winter,drip,high,red
57,124,54,18.37,66.76,7.09,170.36,wheat,Tamil Nadu,Coimbatore,summer,rainfed,high,mountain
110,25,180,21.12,96.79,5.18,153.27,tomato,Bihar,Patna,summer,river,medium,laterite
18,19,112,19.24,82.08,9.36,132.94,groundnut,Maharashtra,Nashik,summer,river,low,laterite
127,42,26,32.67,53.56,5.7,250.99,maize,Bihar,Bhagalpur,summer,drip,medium,laterite
21,133,109,36.79,38.5,8.55,53.78,cotton,Tamil Nadu,Madurai,monsoon,sprinkler,medium,mountain
3,135,19,16.38,58.56,7.42,224.14,maize,Punjab,Jalandhar,summer,canal,low,peaty
138,12,61,24.73,86.72,8.33,221.73,sunflower,West Bengal,Howrah,monsoon,rainfed,low,alluvial
2,145,124,30.95,89.22,5.38,294.81,millet,Karnataka,Mysuru,winter,sprinkler,medium,alluvial
71,15,146,30.72,39.41,6.66,146.06,maize,Punjab,Jalandhar,monsoon,well,high,mountain
83,74,9,17.42,42.6,8.25,70.67,chilli,West Bengal,Howrah,winter,groundwater,medium,black
24,37,165,36.01,61.04,5.89,286.46,barley,Maharashtra,Pune,winter,rainfed,low,mountain
17,112,43,38.03,72.48,8.68,56.17,tomato,Andhra Pradesh,Guntur,winter,river,high,black
87,10,8,31.09,45.9,7.76,70.82,cotton,Bihar,Bhagalpur,winter,groundwater,low,peaty
68,120,158,19.07,43.32,8.97,114.46,tomato,Maharashtra,Nagpur,monsoon,groundwater,low,desert
125,6,120,31.85,86.46,8.52,235.7,maize,Bihar,Gaya,summer,groundwater,low,alluvial
29,137,103,29.58,34.99,6.86,272.31,sugarcane,Karnataka,Bengaluru,summer,canal,low,peaty
63,48,48,15.74,80.39,5.0,273.58,sugarcane,Tamil Nadu,Coimbatore,monsoon,drip,medium,peaty
26,84,76,26.51,72.03,5.38,227.02,mustard,Bihar,Gaya,summer,canal,low,saline
90,57,164,38.26,38.95,7.14,50.03,sunflower,Gujarat,Ahmedabad,summer,river,low,desert
24,51,6,25.1,66.13,8.86,185.01,brinjal,Tamil Nadu,Chennai,winter,groundwater,low,black
67,15,17,30.93,80.45,5.42,211.72,sunflower,West Bengal,Kolkata,monsoon,well,medium,alluvial
15,58,152,31.27,55.39,8.06,270.14,tomato,Gujarat,Ahmedabad,monsoon,drip,low,red
92,59,53,19.72,46.84,8.83,131.34,tomato,West Bengal,Kolkata,summer,river,medium,mountain
7,26,203,38.12,51.32,8.25,82.73,onion,Maharashtra,Nagpur,summer,canal,medium,saline
22,143,66,16.09,44.78,8.67,236.52,soybean,Uttar Pradesh,Varanasi,summer,sprinkler,medium,black
96,62,35,28.6,57.4,7.84,98.29,potato,Uttar Pradesh,Kanpur,winter,sprinkler,high,black
118,79,26,39.33,78.89,6.57,106.34,tomato,Punjab,Ludhiana,summer,river,low,alluvial
130,79,161,22.4,30.41,7.43,120.98,maize,Bihar,Gaya,monsoon,groundwater,low,alluvial
44,101,112,15.07,34.91,5.13,164.54,mustard,Rajasthan,Jodhpur,winter,drip,low,desert
106,57,49,32.09,32.72,4.78,101.32,barley,Uttar Pradesh,Lucknow,winter,groundwater,medium,mountain
35,52,107,27.73,80.64,7.38,161.76,rice,Bihar,Bhagalpur,monsoon,groundwater,medium,alluvial
38,134,55,18.62,54.27,4.62,68.1,cotton,Gujarat,Rajkot,monsoon,groundwater,low,red
129,123,150,34.08,68.83,8.02,280.01,groundnut,West Bengal,Kolkata,winter,sprinkler,medium,red
122,50,164,15.2,91.1,7.32,241.64,mustard,West Bengal,Darjeeling,winter,river,low,mountain
92,124,165,34.85,60.22,6.0,276.29,barley,West Bengal,Darjeeling,monsoon,sprinkler,low,desert
129,104,186,27.65,59.57,6.34,221.26,millet,Tamil Nadu,Madurai,winter,sprinkler,low,red
122,126,46,15.39,63.97,7.13,51.1,tomato,Gujarat,Surat,summer,well,medium,laterite
139,25,125,33.49,44.84,5.1,267.34,cotton,Gujarat,Surat,monsoon,drip,high,red
30,13,159,37.36,41.98,5.47,79.35,brinjal,West Bengal,Howrah,monsoon,drip,medium,peaty
17,47,46,19.3,85.84,5.99,102.51,onion,Rajasthan,Jodhpur,summer,sprinkler,high,mountain
39,43,152,26.09,54.61,4.68,290.72,rice,West Bengal,Darjeeling,winter,canal,medium,mountain
97,52,77,31.93,55.53,8.87,272.62,rice,Tamil Nadu,Madurai,summer,groundwater,medium,mountain
94,105,72,31.04,95.85,7.05,120.98,onion,Tamil Nadu,Coimbatore,winter,well,high,desert
71,47,186,38.86,47.25,4.61,55.91,barley,Rajasthan,Jodhpur,summer,canal,low,black
46,25,120,36.76,46.54,7.59,80.33,sugarcane,Punjab,Jalandhar,summer,river,low,black
45,116,50,16.4,40.17,8.21,110.26,mustard,Maharashtra,Pune,winter,drip,low,laterite
111,81,120,22.17,98.57,6.78,127.5,mustard,Rajasthan,Udaipur,winter,groundwater,medium,peaty
71,15,138,30.34,54.8,8.58,217.09,maize,Rajasthan,Udaipur,winter,well,low,peaty
82,121,118,26.56,46.81,6.36,66.69,brinjal,Rajasthan,Jodhpur,summer,groundwater,low,red
47,88,189,35.91,43.24,8.83,222.7,millet,Bihar,Gaya,monsoon,well,medium,mountain
80,130,154,22.64,47.31,5.63,64.79,potato,Maharashtra,Nashik,monsoon,rainfed,low,saline
68,65,182,25.19,79.17,7.3,155.76,tomato,Rajasthan,Jodhpur,summer,groundwater,high,mountain
55,11,95,24.21,73.14,8.1,81.36,sunflower,Tamil Nadu,Chennai,summer,canal,medium,peaty
26,10,174,24.61,39.57,5.92,88.11,maize,Maharashtra,Nagpur,winter,river,high,red
7,47,193,28.22,88.69,6.06,218.9,tomato,Andhra Pradesh,Guntur,monsoon,well,medium,mountain
1,40,110,36.14,46.03,5.81,135.7,barley,Bihar,Gaya,winter,canal,medium,laterite
63,71,122,15.33,79.8,7.24,187.4,brinjal,Uttar Pradesh,Varanasi,monsoon,canal,medium,mountain
47,58,186,36.93,73.55,7.02,70.1,soybean,Punjab,Amritsar,summer,rainfed,medium,laterite
50,98,90,36.37,79.95,9.0,97.69,brinjal,Andhra Pradesh,Visakhapatnam,winter,drip,low,desert
62,143,8,33.22,86.2,6.64,141.96,chilli,Bihar,Bhagalpur,monsoon,sprinkler,medium,laterite
63,35,144,38.19,35.35,9.37,208.16,mustard,Maharashtra,Pune,winter,canal,medium,black
133,24,190,28.24,39.89,5.93,152.17,barley,Maharashtra,Pune,monsoon,river,high,saline
140,93,16,26.59,99.51,5.49,107.52,sugarcane,West Bengal,Kolkata,winter,drip,low,desert
12,136,190,21.9,49.89,8.47,175.67,sugarcane,Karnataka,Hubli,winter,canal,low,laterite
33,26,170,36.64,58.22,8.99,74.49,potato,Maharashtra,Nagpur,monsoon,canal,medium,laterite
71,79,163,22.51,82.93,7.6,180.67,maize,West Bengal,Darjeeling,winter,groundwater,medium,black
85,60,56,39.65,88.78,9.23,101.79,chilli,Gujarat,Ahmedabad,winter,well,low,peaty
53,108,203,20.95,98.15,6.47,92.36,sugarcane,Bihar,Gaya,winter,river,high,saline
60,68,33,23.4,38.71,7.79,287.71,rice,Bihar,Bhagalpur,winter,sprinkler,high,desert
25,115,100,35.13,39.29,7.64,91.46,rice,Rajasthan,Jaipur,monsoon,river,medium,red
79,113,56,15.92,32.93,5.53,147.93,sugarcane,Maharashtra,Nagpur,monsoon,groundwater,high,peaty
31,106,44,25.18,55.11,6.86,292.86,potato,Uttar Pradesh,Varanasi,winter,river,medium,black
96,101,9,29.54,75.9,5.92,120.34,brinjal,Rajasthan,Jodhpur,monsoon,canal,medium,laterite
114,123,140,37.53,81.98,9.09,138.38,sugarcane,Rajasthan,Udaipur,summer,river,low,saline
112,6,6,37.44,68.96,4.56,121.42,wheat,Punjab,Jalandhar,winter,rainfed,low,saline
43,140,150,27.05,94.89,6.37,271.89,maize,Tamil Nadu,Coimbatore,winter,drip,high,saline
31,60,106,23.41,43.92,6.49,298.14,cotton,Gujarat,Ahmedabad,winter,river,high,laterite
24,141,179,15.46,73.6,7.8,89.51,groundnut,Rajasthan,Jaipur,winter,well,low,saline
2,24,190,37.04,31.64,7.77,228.26,mustard,Bihar,Patna,summer,well,high,laterite
14,136,162,39.3,49.17,9.0,298.2,sugarcane,Tamil Nadu,Coimbatore,summer,groundwater,high,red
120,27,179,18.52,59.07,9.5,250.87,tomato,Tamil Nadu,Coimbatore,monsoon,groundwater,low,red
13,38,201,21.31,97.2,6.95,195.72,wheat,Karnataka,Mysuru,monsoon,drip,high,mountain
34,131,98,22.11,78.64,4.64,130.43,cotton,Tamil Nadu,Chennai,winter,groundwater,high,red
2,15,34,39.16,94.15,8.76,180.19,potato,Maharashtra,Nashik,summer,drip,low,mountain
99,102,151,27.98,54.46,8.92,90.04,soybean,Gujarat,Ahmedabad,winter,canal,low,peaty
30,39,87,23.02,60.39,8.42,180.18,rice,Karnataka,Bengaluru,summer,drip,high,alluvial
92,105,79,24.93,83.89,6.35,176.76,wheat,Tamil Nadu,Coimbatore,monsoon,canal,medium,alluvial
113,128,142,35.53,46.62,6.17,96.83,sugarcane,Punjab,Jalandhar,summer,drip,high,mountain
35,32,177,19.63,91.62,8.28,50.75,soybean,Uttar Pradesh,Lucknow,winter,river,low,alluvial
27,134,12,25.25,40.09,7.63,153.4,potato,Andhra Pradesh,Guntur,winter,canal,low,alluvial
32,15,27,21.86,51.54,9.28,68.34,sugarcane,Tamil Nadu,Coimbatore,winter,canal,low,saline
106,67,86,36.2,55.32,7.96,166.04,onion,Bihar,Patna,summer,rainfed,low,peaty
53,26,138,31.77,78.5,9.43,280.11,mustard,Uttar Pradesh,Varanasi,summer,canal,high,black
16,109,34,39.53,92.61,8.56,85.23,soybean,Maharashtra,Nagpur,summer,well,high,alluvial
94,144,118,38.76,88.49,5.58,59.45,sugarcane,Punjab,Ludhiana,monsoon,river,medium,peaty
6,142,37,17.63,83.23,6.81,108.27,mustard,Rajasthan,Jodhpur,monsoon,rainfed,high,desert
88,101,192,29.31,57.11,7.19,51.84,chilli,Tamil Nadu,Chennai,winter,groundwater,high,alluvial
102,123,189,21.94,61.94,6.2,174.8,chilli,Rajasthan,Udaipur,winter,canal,low,red
6,108,86,35.04,86.13,4.68,202.37,soybean,Tamil Nadu,Madurai,winter,groundwater,medium,desert
42,22,182,19.55,70.27,7.31,235.05,wheat,Gujarat,Rajkot,monsoon,sprinkler,low,laterite
72,92,37,39.54,97.14,5.86,165.46,onion,Bihar,Patna,monsoon,groundwater,low,desert
55,26,71,39.57,56.88,7.58,93.83,soybean,Maharashtra,Nashik,winter,groundwater,low,mountain
124,89,198,35.32,35.39,6.53,221.98,onion,Karnataka,Mysuru,monsoon,river,high,alluvial
104,80,135,15.39,89.52,6.31,212.1,brinjal,Uttar Pradesh,Kanpur,winter,canal,high,laterite
39,52,82,30.77,53.59,6.31,143.33,cotton,Bihar,Gaya,monsoon,drip,low,laterite
109,65,199,18.07,54.26,5.26,230.35,soybean,Karnataka,Hubli,monsoon,river,low,laterite
131,93,153,36.33,35.92,8.83,76.8,onion,Maharashtra,Nashik,winter,canal,low,mountain
91,139,150,21.1,42.58,4.7,262.06,barley,Punjab,Amritsar,summer,drip,low,peaty
75,113,187,31.07,58.55,8.88,77.15,brinjal,West Bengal,Darjeeling,winter,drip,medium,mountain
45,121,185,24.05,79.96,7.61,90.03,onion,Karnataka,Bengaluru,summer,sprinkler,high,black
15,105,133,23.34,99.04,5.49,141.47,mustard,Bihar,Patna,monsoon,canal,high,red
63,123,104,21.63,57.9,5.85,174.71,millet,West Bengal,Howrah,monsoon,river,low,mountain
78,45,195,38.01,97.91,4.92,264.83,potato,Tamil Nadu,Madurai,winter,groundwater,low,laterite
58,84,128,24.15,38.29,6.5,181.22,barley,Gujarat,Ahmedabad,monsoon,rainfed,medium,black
67,111,33,38.33,80.42,7.25,113.96,potato,Rajasthan,Jodhpur,winter,canal,low,alluvial
22,30,29,23.47,63.9,8.3,226.37,rice,Gujarat,Ahmedabad,winter,river,low,desert
41,131,169,18.04,36.92,9.49,94.67,onion,Rajasthan,Udaipur,summer,river,high,black
18,55,63,27.22,97.62,5.99,129.71,groundnut,Gujarat,Surat,monsoon,groundwater,low,mountain
29,108,196,21.68,85.05,7.0,139.29,onion,Maharashtra,Nashik,summer,drip,medium,red
20,12,61,31.65,89.76,7.65,63.34,wheat,Tamil Nadu,Coimbatore,summer,drip,low,desert
76,24,111,36.11,48.25,5.16,103.89,onion,Maharashtra,Pune,summer,groundwater,medium,red
127,8,96,35.59,73.81,9.17,203.03,barley,Uttar Pradesh,Lucknow,summer,canal,high,mountain
45,132,5,39.16,74.35,5.45,266.12,rice,Tamil Nadu,Chennai,summer,canal,high,mountain
111,97,120,21.55,77.44,6.73,176.77,millet,Tamil Nadu,Coimbatore,summer,groundwater,low,mountain
7,23,183,15.33,61.2,5.03,97.88,chilli,Andhra Pradesh,Vijayawada,monsoon,rainfed,medium,laterite
119,110,114,33.05,69.67,7.77,83.7,cotton,Gujarat,Ahmedabad,summer,sprinkler,medium,mountain
133,44,63,36.21,45.16,8.15,233.81,potato,Uttar Pradesh,Kanpur,monsoon,groundwater,high,red
15,124,41,28.78,58.2,5.31,298.73,tomato,Karnataka,Mysuru,winter,well,low,laterite
99,58,126,17.4,49.58,5.59,185.09,rice,Rajasthan,Udaipur,winter,sprinkler,high,saline
2,19,135,19.55,46.39,9.35,70.67,rice,Maharashtra,Nashik,winter,river,medium,red
2,18,122,33.57,30.84,8.75,96.61,groundnut,Tamil Nadu,Madurai,monsoon,canal,medium,laterite
47,115,81,39.81,43.37,5.36,60.22,cotton,Bihar,Bhagalpur,winter,sprinkler,medium,alluvial
115,34,170,38.71,79.59,8.99,99.75,sugarcane,Gujarat,Rajkot,monsoon,sprinkler,high,mountain
133,27,54,32.7,62.28,6.19,134.11,chilli,Bihar,Bhagalpur,monsoon,well,low,desert
26,115,173,29.87,98.4,4.61,235.97,cotton,Punjab,Amritsar,winter,canal,medium,laterite
33,131,28,20.58,64.15,6.18,229.44,groundnut,Maharashtra,Pune,summer,rainfed,medium,black
30,21,170,16.13,60.08,6.69,266.16,millet,Punjab,Ludhiana,summer,well,low,alluvial
69,58,91,33.0,40.96,9.38,202.73,millet,Uttar Pradesh,Kanpur,monsoon,well,high,alluvial
62,118,37,31.46,85.35,5.35,241.51,brinjal,Punjab,Ludhiana,monsoon,groundwater,medium,red
126,33,29,24.06,50.66,5.6,132.94,groundnut,Rajasthan,Jodhpur,summer,drip,high,mountain
123,116,35,29.53,65.05,6.9,245.54,barley,Uttar Pradesh,Lucknow,monsoon,rainfed,high,laterite
112,23,137,26.12,74.25,6.91,165.71,chilli,Uttar Pradesh,Varanasi,monsoon,canal,medium,red
27,69,85,19.32,91.96,4.57,218.26,cotton,Gujarat,Surat,summer,drip,low,black
21,11,158,18.87,75.31,6.88,141.3,sunflower,West Bengal,Darjeeling,summer,river,low,laterite
105,134,192,25.36,90.26,7.99,271.82,maize,West Bengal,Kolkata,winter,river,medium,laterite
25,69,35,28.48,78.6,6.56,227.05,maize,Gujarat,Surat,winter,groundwater,medium,mountain
79,137,152,15.59,54.04,4.92,177.15,potato,West Bengal,Kolkata,monsoon,drip,high,desert
96,128,62,24.94,75.46,8.72,217.78,barley,West Bengal,Howrah,winter,sprinkler,low,black
38,16,145,22.48,82.35,8.24,54.36,tomato,Maharashtra,Nashik,winter,sprinkler,high,laterite
57,44,181,33.54,79.42,8.17,182.59,groundnut,Uttar Pradesh,Varanasi,winter,groundwater,high,desert
83,53,154,39.98,66.36,4.61,201.78,groundnut,Karnataka,Hubli,winter,well,high,alluvial
112,79,130,35.13,87.48,5.09,222.29,barley,Karnataka,Mysuru,winter,well,medium,peaty
41,129,47,22.15,31.94,9.44,112.31,rice,Karnataka,Bengaluru,monsoon,well,high,alluvial
101,100,24,15.87,87.54,4.64,104.2,barley,Tamil Nadu,Coimbatore,summer,drip,high,desert
82,110,88,22.76,86.21,4.88,115.5,tomato,Maharashtra,Nashik,summer,sprinkler,low,mountain
68,87,14,30.86,70.79,5.35,88.85,barley,Gujarat,Rajkot,monsoon,rainfed,low,red
97,140,62,34.42,80.76,8.94,107.79,brinjal,Gujarat,Rajkot,summer,river,high,laterite
107,49,134,19.97,94.49,9.01,248.5,groundnut,West Bengal,Howrah,summer,groundwater,high,red
76,24,152,24.72,97.05,5.23,165.18,sunflower,Karnataka,Hubli,summer,sprinkler,low,peaty
75,22,63,29.58,86.96,4.98,149.42,potato,West Bengal,Darjeeling,monsoon,river,high,saline
39,52,14,39.75,55.22,7.63,187.61,brinjal,Karnataka,Bengaluru,winter,rainfed,high,alluvial
71,12,80,18.93,53.78,6.96,201.43,potato,Punjab,Amritsar,summer,canal,medium,peaty
58,51,26,38.87,70.41,5.08,107.38,cotton,Rajasthan,Udaipur,summer,sprinkler,medium,alluvial
83,140,83,38.84,65.48,9.24,94.88,cotton,Punjab,Amritsar,winter,groundwater,medium,laterite
48,119,99,15.24,86.75,4.65,224.98,millet,Bihar,Bhagalpur,summer,drip,low,desert
135,141,114,24.4,74.87,7.49,228.71,chilli,Karnataka,Hubli,monsoon,rainfed,low,desert
126,144,53,15.9,74.35,4.96,111.09,maize,Karnataka,Hubli,summer,rainfed,high,laterite
126,27,48,23.15,32.52,6.03,248.05,rice,Bihar,Patna,monsoon,well,medium,mountain
132,55,130,26.35,54.23,5.72,75.46,tomato,Karnataka,Bengaluru,monsoon,drip,medium,peaty
53,55,157,22.3,33.64,5.1,265.95,tomato,Bihar,Patna,winter,rainfed,low,saline
91,35,140,19.45,73.67,6.77,67.78,barley,Karnataka,Bengaluru,winter,canal,high,saline
130,19,21,23.9,98.9,6.95,130.86,millet,West Bengal,Darjeeling,summer,drip,low,laterite
55,100,201,29.65,82.19,5.31,126.8,chilli,Gujarat,Ahmedabad,winter,river,medium,red
79,74,144,26.23,79.23,8.26,114.78,chilli,Rajasthan,Jodhpur,summer,groundwater,low,black
52,16,32,22.73,32.01,4.77,142.18,cotton,Uttar Pradesh,Lucknow,winter,river,high,red
77,44,20,39.33,50.96,6.77,271.57,millet,Andhra Pradesh,Vijayawada,winter,sprinkler,medium,laterite
70,52,40,25.7,68.27,5.32,296.96,tomato,Tamil Nadu,Coimbatore,monsoon,river,low,mountain
68,37,190,22.14,55.72,6.58,283.8,groundnut,West Bengal,Darjeeling,winter,canal,low,laterite
139,65,185,34.45,85.62,6.95,76.82,soybean,Karnataka,Mysuru,summer,river,low,peaty
90,115,173,20.74,44.42,8.16,160.34,sugarcane,Tamil Nadu,Madurai,monsoon,rainfed,low,mountain
49,142,8,20.11,45.72,6.23,211.35,rice,Tamil Nadu,Madurai,summer,rainfed,medium,red
77,22,133,19.03,92.17,5.85,229.01,tomato,West Bengal,Howrah,monsoon,well,low,peaty
112,101,15,20.9,45.86,7.46,204.36,brinjal,Bihar,Bhagalpur,summer,canal,low,black
18,15,40,35.55,49.08,6.62,107.19,wheat,Andhra Pradesh,Vijayawada,monsoon,canal,high,desert
65,144,148,35.13,60.35,8.71,291.85,potato,Uttar Pradesh,Varanasi,winter,sprinkler,high,peaty
42,142,194,38.84,57.97,4.98,226.55,soybean,Gujarat,Ahmedabad,summer,drip,high,alluvial
11,35,200,35.07,43.24,6.11,171.03,soybean,Andhra Pradesh,Vijayawada,winter,rainfed,low,mountain
83,10,112,26.98,74.22,8.32,110.83,sugarcane,Punjab,Jalandhar,winter,sprinkler,medium,peaty
66,142,113,35.76,89.9,9.3,130.42,rice,West Bengal,Howrah,summer,rainfed,medium,laterite
51,107,76,25.44,75.49,8.94,263.28,onion,Gujarat,Ahmedabad,summer,drip,low,desert
86,126,167,16.44,74.75,7.49,224.04,maize,Karnataka,Mysuru,summer,drip,medium,mountain
108,129,188,17.73,75.35,6.31,93.92,brinjal,Bihar,Gaya,monsoon,drip,low,saline
47,47,195,19.63,90.6,8.84,80.28,cotton,Gujarat,Surat,monsoon,well,low,red
57,138,147,32.34,66.27,6.8,82.08,barley,Andhra Pradesh,Guntur,winter,river,high,saline
123,133,67,32.29,93.42,8.14,67.81,sunflower,Uttar Pradesh,Kanpur,summer,river,low,mountain
42,7,44,22.92,74.31,8.04,119.98,cotton,Karnataka,Bengaluru,summer,canal,high,alluvial
81,82,68,37.38,60.23,7.6,212.33,cotton,Gujarat,Surat,summer,well,low,saline
44,116,142,29.51,95.3,7.63,192.7,cotton,Uttar Pradesh,Varanasi,summer,rainfed,low,peaty
129,95,80,39.3,76.43,9.36,284.77,sugarcane,West Bengal,Howrah,monsoon,well,low,saline
135,89,189,21.89,95.24,5.78,73.66,sunflower,Karnataka,Hubli,winter,rainfed,high,black
13,52,46,17.55,86.52,6.36,75.41,groundnut,Gujarat,Ahmedabad,summer,well,low,alluvial
92,104,50,26.96,65.96,8.67,234.73,cotton,West Bengal,Kolkata,winter,well,medium,saline
83,66,36,39.29,75.27,8.77,254.11,groundnut,Andhra Pradesh,Guntur,summer,well,medium,black
68,70,20,18.73,50.66,5.17,70.99,groundnut,West Bengal,Howrah,monsoon,sprinkler,low,red
13,120,194,29.1,81.29,6.08,237.89,soybean,Tamil Nadu,Coimbatore,monsoon,rainfed,low,peaty
86,5,163,26.82,48.07,9.3,287.24,barley,West Bengal,Howrah,summer,river,low,alluvial
84,128,48,26.19,45.18,7.74,111.03,brinjal,Tamil Nadu,Coimbatore,summer,drip,high,saline
113,69,24,33.94,47.16,7.68,206.5,potato,Andhra Pradesh,Visakhapatnam,winter,canal,low,black
3,41,133,34.15,83.52,8.13,258.51,groundnut,Maharashtra,Nashik,summer,rainfed,high,saline
116,86,13,18.26,58.75,5.6,110.16,cotton,Rajasthan,Udaipur,winter,canal,high,laterite
17,34,51,19.48,39.57,8.45,218.57,onion,Tamil Nadu,Chennai,winter,well,medium,red
33,17,92,20.01,80.43,8.62,239.15,brinjal,Tamil Nadu,Chennai,monsoon,well,medium,alluvial
87,23,86,30.79,73.52,5.79,166.97,maize,Tamil Nadu,Chennai,monsoon,canal,low,mountain
72,76,164,20.73,99.52,4.6,194.5,cotton,Rajasthan,Udaipur,winter,well,medium,mountain
106,25,173,25.42,55.61,5.75,171.24,chilli,Rajasthan,Jodhpur,monsoon,sprinkler,high,peaty
42,80,35,30.64,68.47,6.74,227.72,tomato,Gujarat,Surat,winter,river,low,alluvial
110,61,146,20.57,40.63,9.14,84.29,barley,Gujarat,Surat,summer,drip,medium,laterite
30,128,205,18.18,96.8,8.18,269.52,rice,Karnataka,Hubli,summer,well,high,laterite
29,104,190,27.35,42.37,7.09,296.57,wheat,Tamil Nadu,Chennai,monsoon,sprinkler,low,peaty
2,84,9,37.28,72.08,8.67,170.95,chilli,Rajasthan,Jaipur,winter,well,high,desert
99,73,88,21.14,43.74,8.02,288.83,brinjal,Karnataka,Bengaluru,monsoon,well,high,black
51,67,51,20.32,48.41,6.58,89.15,millet,West Bengal,Kolkata,monsoon,well,low,saline
14,128,26,27.52,90.98,6.74,270.92,sugarcane,Karnataka,Hubli,winter,groundwater,low,peaty
134,71,136,28.46,49.58,4.65,79.3,sunflower,West Bengal,Kolkata,winter,sprinkler,medium,red
5,94,177,26.51,92.45,7.04,205.01,wheat,Karnataka,Bengaluru,winter,drip,medium,black
87,40,163,31.4,58.01,6.23,264.11,mustard,Andhra Pradesh,Vijayawada,summer,well,high,desert
23,99,6,18.88,60.96,5.74,117.04,sunflower,Karnataka,Hubli,monsoon,sprinkler,low,red
52,113,182,30.94,35.65,6.83,51.32,chilli,Tamil Nadu,Madurai,monsoon,drip,medium,mountain
11,90,89,17.87,81.95,8.42,113.34,onion,Tamil Nadu,Madurai,monsoon,rainfed,medium,desert
69,28,111,37.7,88.75,5.83,116.99,onion,Uttar Pradesh,Varanasi,winter,canal,medium,black
118,26,56,23.49,89.64,6.83,59.35,soybean,Tamil Nadu,Chennai,monsoon,rainfed,high,alluvial
21,61,29,28.98,67.88,6.83,240.71,onion,Andhra Pradesh,Vijayawada,summer,well,high,desert
