Crop Type,Crop Season,Farm Size (acres),Soil Type,Region,Labor Cost Per Day,Labor Availability,Water Availability,Pesticide Type,Fertilizer Type,Fertilizers Used,Land Preparation,Seeds,Fertilizers,Pesticides,Irrigation,Labor,Machinery,Transportation,Miscellaneous,Total Cost
Rice,Rabi,6.5,Clay,Kerala,579,Moderate,High,Chemical,Synthetic,"Compost, Gypsum, NPK, Potash",22724,15886,22796,13000,18044,56452,19832,6591,4706,180031
Wheat,Transitional,7.07,Clay,Maharashtra,283,Moderate,Moderate,Chemical,Synthetic,Lime,17993,13087,31235,14140,21655,20008,24349,9933,6024,158424
Wheat,Summer,3.9,Sandy,Andhra Pradesh,458,Moderate,High,Organic,Organic,"Lime, Bio-fertilizers",12597,7328,19219,4680,14797,17862,14469,3327,3050,97329
Sugarcane,Rabi,3.1,Clay,Tamil Nadu,276,Moderate,High,Organic,Synthetic,Urea,11185,5143,14731,3720,8720,12834,6315,3004,1968,67620
Wheat,Rainy,6.81,Clay,Andhra Pradesh,287,Moderate,High,Chemical,Organic,"Lime, Gypsum, Urea",25510,13252,30284,13620,18864,29317,20260,9691,4229,165027
Sugarcane,Post-Rabi,2.52,Loam,Tamil Nadu,437,Moderate,Moderate,Organic,Synthetic,"Lime, Bone Meal, Green Manure",9075,5892,9067,3024,10070,12114,9697,3624,1295,63858
Sugarcane,Summer,4.22,Sandy,Uttar Pradesh,581,High,High,Chemical,Synthetic,"DAP, Gypsum",11516,10027,17918,8440,10723,29422,10179,5254,3465,106944
Maize,Kharif,2.06,Clay,Punjab,531,High,Moderate,Chemical,Synthetic,"DAP, Ammonium Sulphate, Urea",7816,4724,9045,4120,5741,13126,5234,2079,1596,53481
Sugarcane,Monsoon,1.76,Loam,Punjab,558,High,Low,Organic,Synthetic,Zinc Sulphate,5660,3837,8254,2112,4965,12767,5176,2035,1153,45959
Rice,Monsoon,3.98,Peat,Rajasthan,524,High,Low,Organic,Synthetic,"Bio-fertilizers, Green Manure, Potash, Urea",15618,6981,17464,4776,13699,27112,12732,5019,3658,107059
Sugarcane,Spring,7.2,Silt,Haryana,466,High,High,Organic,Organic,"Potash, Green Manure, Ammonium Sulphate",27698,11412,33782,8640,27590,33552,18547,10159,6170,177550
Sugarcane,Kharif,7.01,Peat,Karnataka,259,High,Moderate,Organic,Synthetic,"Zinc Sulphate, DAP",26673,13508,33010,8412,18864,23603,20981,10129,6828,162008
Maize,Transitional,8.72,Loam,Karnataka,487,Low,High,Chemical,Organic,"Bio-fertilizers, Lime, Compost, Bone Meal",29683,17675,39999,17440,23047,59453,32351,9601,7072,236321
Sugarcane,Kharif,4.18,Sandy,Haryana,396,High,Low,Organic,Organic,"Potash, Green Manure, NPK",15570,6667,16043,5016,10500,23174,9514,4594,3586,94664
Maize,Kharif,1.69,Peat,Chhattisgarh,268,Moderate,Low,Organic,Synthetic,DAP,6481,2772,7051,2028,4781,6794,6430,2506,908,39751
Wheat,Winter,1.96,Clay,Kerala,498,Moderate,Low,Organic,Organic,Calcium Nitrate,5366,4108,7815,2352,7236,13665,5860,2450,1766,50618
Wheat,Kharif,6.04,Loam,Haryana,408,Moderate,Moderate,Organic,Organic,NPK,15384,15021,25175,7248,22487,27108,18899,7767,3135,142224
Wheat,Kharif,8.74,Clay,Karnataka,282,High,High,Organic,Organic,"Bio-fertilizers, Lime, Calcium Nitrate, Green Manure",24656,20924,41690,10488,22051,29576,30127,9518,6345,195375
Wheat,Pre-Kharif,8.97,Peat,Andhra Pradesh,518,High,Moderate,Chemical,Synthetic,Gypsum,30005,19573,41531,17940,23681,65050,27054,9185,6494,240513
Sugarcane,Autumn,1.55,Loam,Karnataka,343,Low,Low,Chemical,Organic,"Compost, Green Manure, Urea, Zinc Sulphate",5123,3515,6698,3100,5458,7975,5303,1536,919,39627
Sugarcane,Monsoon,3.71,Peat,Odisha,423,Low,Low,Chemical,Organic,DAP,9676,7101,15601,7420,14632,21971,14343,5461,1970,98175
Soybean,Spring,8.25,Clay,Tamil Nadu,563,Low,Low,Chemical,Synthetic,"Phosphate, Bio-fertilizers, Zinc Sulphate, Compost",25237,15378,34419,16500,27860,65026,18232,8448,5041,216141
Maize,Dry,4.29,Loam,Bihar,553,Low,Low,Organic,Synthetic,Green Manure,16096,10682,20995,5148,14800,30841,15967,3638,3136,121303
Wheat,Pre-Kharif,0.68,Silt,West Bengal,440,High,High,Chemical,Organic,"Green Manure, Urea, Phosphate, NPK",2128,1158,2929,1360,2494,3590,2355,987,467,17468
Wheat,Late Kharif,7.16,Loam,Bihar,266,High,Moderate,Organic,Synthetic,Phosphate,19132,10969,26685,8592,23306,24759,18029,6716,5563,143751
Rice,Monsoon,3.98,Loam,Maharashtra,435,Moderate,Moderate,Organic,Organic,"Potash, Bone Meal",13608,8358,15188,4776,12298,25970,8477,3248,2273,94196
Rice,Pre-Kharif,7.47,Clay,Chhattisgarh,589,Low,Low,Organic,Organic,"Urea, Vermicompost, Gypsum",26265,13005,28894,8964,27803,43998,15201,6925,4071,175126
Maize,Rabi,5.49,Peat,Andhra Pradesh,459,High,High,Organic,Organic,"Vermicompost, Lime, Green Manure, Urea",18518,10695,20939,6588,20566,30239,19182,7752,3228,137707
Maize,Pre-Kharif,6.76,Clay,Madhya Pradesh,328,Moderate,Low,Chemical,Synthetic,"Bone Meal, Lime",25985,16528,33313,13520,24356,33259,22619,9883,5793,185256
Maize,Late Kharif,3.92,Peat,West Bengal,499,High,Moderate,Chemical,Organic,Zinc Sulphate,12995,8789,16852,7840,15002,27385,15108,3469,3242,110682
Soybean,Winter,5.79,Silt,Chhattisgarh,278,Moderate,Low,Chemical,Organic,"Vermicompost, Potash, DAP",15523,13989,28400,11580,18053,20925,14353,5228,4059,132110
Wheat,Summer,1.81,Clay,Karnataka,298,High,Low,Organic,Synthetic,Phosphate,4778,3758,6583,2172,4921,6473,6440,2348,1142,38615
Maize,Pre-Kharif,9.51,Sandy,Madhya Pradesh,268,Low,Moderate,Organic,Synthetic,"Ammonium Sulphate, Zinc Sulphate",30480,23271,41511,11412,32344,33133,21797,14018,6001,213967
Soybean,Summer,1.34,Sandy,Kerala,444,Moderate,Low,Chemical,Synthetic,"Bone Meal, Gypsum, Green Manure, Vermicompost",4100,2518,5002,2680,5002,5950,3937,1357,1292,31838
Rice,Late Kharif,8.93,Loam,Kerala,394,Low,High,Chemical,Organic,"Urea, Green Manure, Bio-fertilizers",32014,15083,43150,17860,23209,38703,31246,9037,6849,217151
Wheat,Transitional,6.07,Loam,Punjab,510,Low,High,Chemical,Synthetic,"Gypsum, Compost, Vermicompost, DAP",16765,14313,23849,12140,23430,30957,17105,8893,4941,152393
Sugarcane,Winter,5.06,Clay,Maharashtra,319,Low,Moderate,Organic,Synthetic,Lime,14659,11319,23418,6072,14492,16141,17062,4680,5035,112878
Soybean,Rainy,9.08,Silt,Maharashtra,429,Moderate,Moderate,Organic,Organic,"Zinc Sulphate, NPK",28956,14183,43248,10896,30191,42849,23372,7636,8989,210320
Rice,Harvest,1.62,Peat,Haryana,354,Moderate,High,Organic,Organic,"Green Manure, Lime, NPK, Bio-fertilizers",4188,3324,7792,1944,5237,7455,4837,2271,1458,38506
Wheat,Monsoon,3.39,Clay,Kerala,466,High,Low,Chemical,Synthetic,Compost,9489,6190,13329,6780,12811,17377,9573,4312,2183,82044
Maize,Harvest,1.09,Silt,Gujarat,380,Low,Moderate,Chemical,Organic,"Compost, Lime",3419,1947,4837,2180,4329,6213,2893,1609,1016,28443
Soybean,Rainy,1.95,Loam,Uttar Pradesh,265,Low,Low,Chemical,Organic,"Lime, Vermicompost, Phosphate",6002,4604,8798,3900,6326,6201,6464,2625,1022,45942
Rice,Zaid,8.98,Silt,Chhattisgarh,563,Low,Moderate,Chemical,Synthetic,Calcium Nitrate,22621,20663,39647,17960,23294,60669,20205,11755,6888,223702
Maize,Harvest,1.36,Sandy,Maharashtra,437,Low,High,Chemical,Synthetic,"Lime, Urea, Compost, Vermicompost",3648,3309,5330,2720,5420,8320,3637,1265,957,34606
Sugarcane,Kharif,1.91,Peat,Tamil Nadu,598,Low,Low,Chemical,Synthetic,"Bio-fertilizers, DAP",4937,4550,8064,3820,6551,13706,4515,1912,1696,49751
Wheat,Pre-Kharif,4.13,Clay,Andhra Pradesh,422,Low,Moderate,Organic,Synthetic,"Zinc Sulphate, Phosphate, Bio-fertilizers",14381,9032,17978,4956,14360,22657,14133,6026,2333,105856
Sugarcane,Pre-Kharif,3.29,Silt,Madhya Pradesh,587,High,Moderate,Chemical,Synthetic,"NPK, Bone Meal, Zinc Sulphate",12640,5856,14627,6580,10051,19312,11183,2635,2958,85842
Maize,Transitional,7.49,Silt,Odisha,350,High,Low,Organic,Synthetic,"Compost, Ammonium Sulphate, Calcium Nitrate",26275,15909,32978,8988,22770,28836,27646,6689,7385,177476
Wheat,Late Kharif,7.33,Clay,Madhya Pradesh,287,High,Moderate,Organic,Synthetic,"Green Manure, DAP",23910,12454,32215,8796,19117,29452,23434,7924,7022,164324
Sugarcane,Transitional,3.11,Sandy,Haryana,262,Moderate,High,Chemical,Organic,Potash,10823,6214,11283,6220,11927,8148,9737,4562,2398,71312
Maize,Transitional,2.48,Clay,Maharashtra,251,Low,Moderate,Organic,Organic,"NPK, Ammonium Sulphate, Compost",7619,5711,10976,2976,7219,9337,8504,2430,1585,56357
Soybean,Kharif,8.78,Peat,Maharashtra,314,Moderate,High,Organic,Organic,Bone Meal,22582,17657,37438,10536,30352,30326,18938,11713,7524,187066
Maize,Kharif,1.1,Clay,Tamil Nadu,581,Low,Low,Organic,Organic,"Phosphate, Green Manure, Bio-fertilizers",2889,2247,4816,1320,3868,8308,2207,1637,971,28263
Maize,Pre-Kharif,4.69,Sandy,Uttar Pradesh,519,Moderate,High,Chemical,Organic,"Lime, Urea",16063,10815,18202,9380,17864,36512,12222,4643,3255,128956
Rice,Rabi,2.48,Silt,Haryana,396,Low,High,Organic,Synthetic,Urea,9461,5153,10203,2976,6314,11785,8722,3656,1964,60234
Maize,Rabi,3.16,Clay,Punjab,433,Low,Low,Organic,Synthetic,"NPK, Phosphate",9079,5650,13193,3792,9401,17788,10254,3536,3049,75742
Maize,Spring,1.44,Loam,Punjab,468,Low,Moderate,Organic,Organic,"Bone Meal, Potash, Ammonium Sulphate",5338,2948,5252,1728,5288,7413,5564,1320,1394,36245
Sugarcane,Zaid,8.4,Clay,Chhattisgarh,593,Low,Low,Chemical,Organic,"Phosphate, Green Manure, Gypsum",29358,20992,39220,16800,32869,59774,27023,9358,7442,242836
Maize,Autumn,6.61,Loam,Gujarat,402,Moderate,Low,Chemical,Organic,"Bio-fertilizers, Lime, Compost, Zinc Sulphate",19936,15289,26731,13220,19374,34544,25977,6650,3391,165112
Soybean,Monsoon,5.48,Peat,Rajasthan,532,Moderate,High,Chemical,Synthetic,"Potash, Bone Meal, Phosphate, Vermicompost",17700,8368,26331,10960,14944,32069,16396,7853,4137,138758
Maize,Summer,2.85,Sandy,Uttar Pradesh,428,High,High,Organic,Synthetic,"Compost, Urea, Green Manure",7353,5210,10591,3420,8564,14638,7040,3409,2551,62776
Soybean,Rabi,4.23,Clay,Chhattisgarh,482,High,Moderate,Organic,Synthetic,Gypsum,15033,7047,18845,5076,13870,28544,11188,4590,2885,107078
Rice,Late Kharif,5.06,Loam,Kerala,521,Moderate,Moderate,Organic,Synthetic,"Lime, Vermicompost",15438,10879,21166,6072,18742,34271,17336,4954,3967,132825
Rice,Zaid,7.31,Clay,Gujarat,271,Moderate,High,Organic,Synthetic,"Lime, Urea, Bio-fertilizers",25950,17639,31426,8772,27815,27734,25636,9116,3830,177918
Maize,Monsoon,2.42,Sandy,Chhattisgarh,481,Moderate,Low,Organic,Organic,"Green Manure, Bone Meal",9290,3770,9520,2904,9624,16296,9610,1948,1667,64629
Soybean,Rainy,9.02,Clay,Madhya Pradesh,536,Low,Moderate,Chemical,Organic,Ammonium Sulphate,24679,15677,33383,18040,26429,67686,22794,10598,5412,224698
Maize,Summer,8.22,Clay,Bihar,562,Low,Low,Chemical,Organic,"Ammonium Sulphate, Compost, Urea",31376,17484,36530,16440,27825,64675,26049,8335,5170,233884
Wheat,Dry,7.83,Clay,Rajasthan,284,Moderate,High,Organic,Organic,"Ammonium Sulphate, Calcium Nitrate, Urea, Compost",28102,12794,28948,9396,21893,33356,30803,7000,7673,179965
Wheat,Late Kharif,3.14,Peat,Punjab,366,Moderate,High,Chemical,Organic,"Bone Meal, Urea, Vermicompost, Ammonium Sulphate",12277,7596,13110,6280,8089,12642,10255,3551,1893,75693
Maize,Rainy,1.1,Clay,Karnataka,583,Low,High,Organic,Synthetic,"NPK, Bio-fertilizers, Bone Meal, Vermicompost",3212,1997,5117,1320,2809,9620,4301,1382,924,30682
Maize,Kharif,8.86,Silt,Kerala,401,Low,Moderate,Chemical,Organic,Vermicompost,26979,22035,36530,17720,24578,42634,31861,9507,8045,219889
Maize,Post-Rabi,1.57,Clay,Madhya Pradesh,361,Low,Moderate,Organic,Synthetic,"Gypsum, Urea",5484,3372,5812,1884,4719,7368,6035,1948,1291,37913
Soybean,Summer,1.97,Sandy,Punjab,278,High,High,Chemical,Organic,"Green Manure, NPK",7588,4610,8323,3940,7519,6024,4261,1931,1946,46142
Maize,Monsoon,3.87,Peat,Bihar,281,Moderate,Moderate,Chemical,Organic,"Zinc Sulphate, NPK, Calcium Nitrate",14520,8170,18181,7740,10968,16312,13228,4632,2519,96270
Rice,Kharif,9.56,Sandy,Kerala,507,Moderate,High,Organic,Organic,"Ammonium Sulphate, Potash",30324,18451,43804,11472,28259,53316,24952,7820,7419,225817
Sugarcane,Monsoon,5.22,Silt,Chhattisgarh,386,Moderate,Low,Chemical,Organic,Lime,14209,8054,22289,10440,15415,26194,19512,4928,4087,125128
Wheat,Summer,1.51,Sandy,Andhra Pradesh,509,Moderate,High,Chemical,Synthetic,"Bio-fertilizers, Urea",4162,2511,6040,3020,5478,9992,4015,1638,1306,38162
Wheat,Dry,5.71,Silt,Karnataka,349,Moderate,High,Chemical,Synthetic,Ammonium Sulphate,22532,13710,28481,11420,22412,23913,20065,6675,4602,153810
Rice,Dry,2.98,Silt,Tamil Nadu,507,Low,Low,Chemical,Organic,"Lime, Compost, Green Manure, Zinc Sulphate",9166,5593,13261,5960,9849,21152,10814,4190,2467,82452
Maize,Kharif,0.84,Sandy,West Bengal,432,Low,High,Chemical,Synthetic,"Bone Meal, Green Manure, Bio-fertilizers",2162,1718,3618,1680,3263,5443,2698,855,454,21891
Maize,Rabi,1.06,Peat,Gujarat,552,High,Moderate,Chemical,Synthetic,"Lime, Compost, DAP, Calcium Nitrate",3771,2596,5042,2120,3995,7021,3642,1367,1002,30556
Sugarcane,Zaid,6.82,Loam,Tamil Nadu,589,High,High,Chemical,Organic,Green Manure,23174,10298,31345,13640,18407,60255,23086,9255,5790,195250
Soybean,Pre-Kharif,2.37,Peat,Madhya Pradesh,535,Moderate,Low,Organic,Synthetic,Potash,7776,3787,8842,2844,8966,15215,7977,2714,2323,60444
Rice,Rainy,9.15,Silt,Maharashtra,526,Low,High,Chemical,Organic,"Compost, DAP",24421,18263,32766,18300,34898,72194,28822,8290,7311,245265
Soybean,Dry,6.44,Clay,West Bengal,589,High,Low,Chemical,Synthetic,"Phosphate, NPK, Green Manure, Gypsum",19050,12275,25296,12880,19584,37932,23384,8900,4849,164150
Rice,Dry,5.12,Clay,Maharashtra,270,Moderate,Low,Chemical,Synthetic,DAP,17920,8883,18621,10240,15237,17971,15473,5171,4076,113592
Maize,Harvest,9.3,Peat,Karnataka,292,High,High,Organic,Organic,"Phosphate, Zinc Sulphate",31908,19670,40046,11160,35731,27156,21306,11523,5608,204108
Wheat,Late Kharif,1.06,Loam,Tamil Nadu,272,Moderate,Low,Chemical,Organic,"Bone Meal, Bio-fertilizers, Zinc Sulphate",3468,2462,4486,2120,3090,2883,2682,1317,644,23152
Rice,Harvest,8.41,Peat,Madhya Pradesh,338,Moderate,Moderate,Chemical,Organic,"Phosphate, Vermicompost, NPK, Compost",29393,18140,36920,16820,24406,42639,22421,6837,7990,205566
Sugarcane,Kharif,3.32,Sandy,Karnataka,550,Moderate,Moderate,Chemical,Organic,"Urea, Lime, NPK",8795,5017,14127,6640,9860,20086,7397,2776,3114,77812
Soybean,Post-Rabi,6.28,Loam,Tamil Nadu,491,Moderate,Moderate,Chemical,Organic,Bone Meal,24762,9646,22482,12560,18024,43169,19418,5250,5300,160611
Maize,Winter,1.77,Loam,West Bengal,467,Low,Moderate,Chemical,Synthetic,"Bio-fertilizers, Zinc Sulphate",4551,3092,7259,3540,4954,9919,3802,2370,1005,40492
Maize,Autumn,4.76,Sandy,Kerala,281,High,High,Organic,Organic,Urea,14399,7516,18478,5712,12619,13376,11462,4555,3108,91225
Wheat,Kharif,2.15,Silt,Tamil Nadu,553,Low,High,Chemical,Synthetic,"Potash, Gypsum, Calcium Nitrate",6284,3649,9419,4300,6590,13078,4848,2438,1967,52573
Maize,Spring,2.72,Peat,Karnataka,511,Low,High,Chemical,Organic,"Gypsum, Urea, DAP, Bone Meal",8932,5005,12332,5440,7428,13899,7736,3852,1384,66008
Maize,Zaid,7.11,Sandy,Maharashtra,458,Low,High,Organic,Organic,"Lime, Bone Meal, Calcium Nitrate",19652,16410,26819,8532,24487,48846,14256,8589,5269,172860
Sugarcane,Summer,1.46,Clay,Kerala,337,Low,Moderate,Organic,Synthetic,Lime,4319,3215,5858,1752,5656,7380,4814,1867,1269,36130
Soybean,Zaid,8.77,Silt,Gujarat,400,High,Moderate,Organic,Organic,"Urea, Green Manure, Bio-fertilizers",33896,18549,39219,10524,23469,38588,27064,12629,7551,211489
Wheat,Spring,1.76,Sandy,Andhra Pradesh,530,Moderate,Low,Organic,Organic,"Phosphate, Zinc Sulphate, Green Manure",4995,3242,6934,2112,6755,9328,6700,1702,1538,43306
Soybean,Spring,7.05,Loam,Madhya Pradesh,338,High,Low,Organic,Synthetic,"Green Manure, DAP",22976,10963,34171,8460,25669,35744,27347,8777,6846,180953
Soybean,Post-Rabi,5.87,Peat,Maharashtra,440,Moderate,Moderate,Organic,Synthetic,"Lime, Compost",19301,13706,21126,7044,19682,28411,20457,6463,3199,139389
Maize,Rainy,2.4,Clay,Punjab,443,Low,High,Chemical,Synthetic,Green Manure,7418,5544,11849,4800,6235,11695,6830,3516,1486,59373
Wheat,Autumn,8.95,Clay,Kerala,258,Low,Moderate,Organic,Synthetic,"Urea, Bone Meal, DAP, Phosphate",32605,20800,33894,10740,30636,32327,20997,8359,8825,199183
Sugarcane,Harvest,7.26,Peat,Haryana,492,High,High,Chemical,Synthetic,"DAP, Zinc Sulphate",18767,11035,32263,14520,26354,42863,19936,8197,6839,180774
Soybean,Autumn,9.83,Loam,Tamil Nadu,536,High,High,Chemical,Organic,"Ammonium Sulphate, Vermicompost",30217,15138,46289,19660,26816,52689,26570,10439,8631,236449
Rice,Spring,3.97,Loam,Gujarat,436,High,Moderate,Organic,Synthetic,"Bone Meal, Phosphate",11231,8877,15618,4764,15670,17309,10219,4077,3490,91255
Rice,Spring,1.14,Clay,Uttar Pradesh,420,Moderate,Moderate,Organic,Organic,"Calcium Nitrate, Phosphate",4508,2322,5200,1368,3378,7182,4220,1170,685,30033
Maize,Rainy,4.28,Loam,Bihar,592,Moderate,High,Chemical,Organic,"Vermicompost, Calcium Nitrate, Urea, Lime",11295,9343,17462,8560,10747,25338,9570,3826,2328,98469
Maize,Monsoon,8.6,Silt,Uttar Pradesh,250,Low,High,Organic,Organic,"Vermicompost, NPK, Bone Meal",32216,14482,39887,10320,23702,25800,25576,9434,8247,189664
Sugarcane,Summer,6.43,Loam,Gujarat,389,Low,High,Chemical,Synthetic,"Phosphate, Calcium Nitrate, Lime",22151,11072,24299,12860,24003,30015,23875,7060,3742,159077
Soybean,Monsoon,7.37,Sandy,Haryana,529,Moderate,Low,Chemical,Synthetic,DAP,20673,16096,29473,14740,26908,42886,21697,8210,5638,186321
Sugarcane,Autumn,9.33,Silt,West Bengal,571,Low,Low,Chemical,Synthetic,Calcium Nitrate,26880,16001,34428,18660,23987,53274,32571,9890,9321,225012
Maize,Summer,6.45,Loam,Tamil Nadu,562,High,Low,Chemical,Synthetic,"Gypsum, Phosphate, Compost",23949,13816,27142,12900,24471,47124,25697,7740,3760,186599
Rice,Transitional,0.81,Loam,Karnataka,341,High,High,Chemical,Synthetic,"Bone Meal, Ammonium Sulphate",3161,1959,3119,1620,2449,2762,2029,1147,616,18862
Sugarcane,Summer,6.5,Peat,Tamil Nadu,263,Moderate,Moderate,Chemical,Organic,Calcium Nitrate,24798,16003,24388,13000,19708,25642,19435,5726,4888,153588
Soybean,Pre-Kharif,5.28,Peat,Gujarat,533,Moderate,Moderate,Chemical,Organic,"Vermicompost, Green Manure, Lime",19974,12888,21875,10560,14562,30957,13823,5518,4155,134312
Rice,Rainy,7.47,Loam,Rajasthan,408,Low,Moderate,Chemical,Organic,"Calcium Nitrate, Bio-fertilizers",26138,17540,27221,14940,22582,36573,27646,11003,4968,188611
Sugarcane,Winter,3.89,Peat,Gujarat,491,High,High,Chemical,Organic,"Compost, Bio-fertilizers",13938,7943,18011,7780,10993,26740,11810,4365,3073,104653
Maize,Rainy,8.66,Silt,West Bengal,551,High,Moderate,Organic,Organic,"Lime, Green Manure",29583,17511,37645,10392,28916,57260,29158,7941,5161,223567
Sugarcane,Autumn,3.33,Silt,Kerala,450,Low,High,Organic,Synthetic,"Lime, Calcium Nitrate",10679,7259,13443,3996,10939,16484,8588,4342,2900,78630
Rice,Pre-Kharif,1.56,Loam,Chhattisgarh,250,Moderate,Moderate,Organic,Synthetic,Compost,4795,3245,6510,1872,4473,5460,6159,2014,1324,35852
Soybean,Monsoon,2.78,Loam,Uttar Pradesh,469,Low,High,Organic,Synthetic,"Gypsum, DAP, Lime, Ammonium Sulphate",8340,4281,12838,3336,9402,14342,7740,2382,2093,64754
Wheat,Post-Rabi,9.34,Sandy,Chhattisgarh,594,Moderate,Moderate,Organic,Organic,"Bio-fertilizers, Bone Meal, NPK",23527,15953,45355,11208,32961,55480,34810,11871,7491,238656
